Year;Consumer Films;Consumer Bags;Consumer Bottles;Other Consumer Packaging;Non Consumer Bags;Other Non Consumer Films;Other Non Consumer Packaging;Pipes and Ducts;Insulation;Wall and Floor Coverings;Windows, Profiles and Fitted Furniture;Lining;Building Packaging Films;Building Textiles;Geotextiles;Agricultural Packaging Films;Agricultural Packaging Bottles;Agricultural Films;Agricultural Pipes;Other Agricultural Plastics;Agrotextiles;Automotive;Mobility Textiles;Electrical and Electronic Equipment;Household Plastics;Furniture;Personal Care and Cosmetic Products;Other Plastic Products;Hygiene and Medical Textiles;Clothing;Technical Clothing;Household Textiles;Technical Household Textiles;Fabric Coatings;Other Technical Textiles
78;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
79;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
80;0;0;0;0;0;0;0;0,01875;0,0095;0;0,006612903;0,005;0;0,005;0;0;0;0;0,01875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001
81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002
101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
